Project;Method;ReleaseID;LOC;CyclomaticComplexity;CognitiveComplexity;Number of Smells;ParameterCount;NestingDepth;StatementCount;LocalVariableCount;ReturnTypeComplexity;MethodHistories;StmtAdded;StmtDeleted;Churn;DistinctAuthors;Bugginess
Bookkeeper;../bookkeeper/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie 2.java/getValidLedgerId;4.0.0;14;3;3;1;1;2;4;3;1;0;0;0;0;0;No
Bookkeeper;../bookkeeper/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie 2.java/main;4.0.0;74;5;4;2;1;1;43;25;1;0;0;0;0;0;No
Bookkeeper;../bookkeeper/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/closeHandle;4.0.0;2;1;0;0;0;0;1;0;1;1;2;0;2;1;Yes
Bookkeeper;../bookkeeper/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/main;4.0.0;26;5;5;1;1;2;4;3;1;2;20;2;22;2;Yes
Bookkeeper;../bookkeeper/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/writeSameEntryBatch;4.0.0;17;2;1;2;2;1;10;2;1;2;14;1;15;2;Yes
Bookkeeper;../bookkeeper/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/writeSameEntry;4.0.0;9;2;1;1;2;1;7;2;1;2;11;1;12;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java/msgIdToReadableString;4.0.0;11;2;1;0;1;1;6;3;1;0;0;0;0;0;No
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java/inMapForm;4.0.0;5;2;1;0;1;1;3;2;3;0;0;0;0;0;No
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java/areEqual;4.0.0;13;6;6;0;2;2;5;3;1;0;0;0;0;0;No
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java/mergeLocalSeqId;4.0.0;5;1;0;0;2;0;4;1;1;0;0;0;0;0;No
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java/mergeLocalSeqId;4.0.0;2;1;0;0;2;0;1;0;1;0;0;0;0;0;No
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java/compare;4.0.0;19;5;5;0;2;2;3;3;1;1;1;1;2;1;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java/takeRegionMaximum;4.0.0;16;5;5;0;3;2;3;5;1;0;0;0;0;0;No
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java/getBasicBuilder;4.0.0;2;1;0;0;1;0;1;0;1;0;0;0;0;0;No
